auv_id,auv_pos_x,auv_pos_y,auv_pos_z,auv_speed,nodes_in_range,is_lc,is_oc,timestamp
9,121.3076187,115.2143646,466.0624044,2.815587528,0,0,0,2.6
0,347.7416325,222.5435579,390.7723627,1.609248411,3,1,1,2.7
2,77.32921992,54.80213274,372.9644379,2.319444849,2,1,0,2.7
1,448.3970411,225.3825386,396.4756787,1.385563849,1,1,0,2.7
5,443.3606046,257.3226264,453.6567779,4.563169964,1,0,0,2.7
3,129.9117955,172.9948068,416.7765856,2.893957604,0,0,0,2.7
4,23.845776,275.8413012,474.4948809,1.920855964,0,0,0,2.7
6,154.3278928,384.8767604,422.0015869,1.785738663,0,0,0,2.7
7,65.12000817,461.4282774,396.6120581,1.524231006,0,0,0,2.7
8,390.507859,239.7695216,354.2112204,4.732092886,0,0,0,2.7
9,121.210872,115.0989269,465.8245188,2.815587528,0,0,0,2.7
0,347.7266841,222.5244658,390.6132752,1.609248411,3,1,1,2.8
2,77.51018869,54.9128702,372.8707055,2.319444849,2,1,0,2.8
1,448.2933212,225.2930527,396.496471,1.385563849,1,1,0,2.8
5,443.2405077,257.2473923,453.2230248,4.563169964,1,0,0,2.8
3,129.7840799,173.2523178,416.8101523,2.893957604,0,0,0,2.8
4,24.0293295,275.7846964,474.4958244,1.920855964,0,0,0,2.8
6,154.2981091,384.7401298,421.8905301,1.785738663,0,0,0,2.8
7,65.23583339,461.3442418,396.6645493,1.524231006,0,0,0,2.8
8,390.0909805,239.9866187,354.2660669,4.732092886,0,0,0,2.8
9,121.1141252,114.9834893,465.5866332,2.815587528,0,0,0,2.8
0,347.7117357,222.5053737,390.4541877,1.609248411,3,1,1,2.9
2,77.69115745,55.02360766,372.776973,2.319444849,2,1,0,2.9
1,448.1896013,225.2035667,396.5172634,1.385563849,1,1,0,2.9
5,443.1204107,257.1721582,452.7892717,4.563169964,1,0,0,2.9
3,129.6563643,173.5098288,416.843719,2.893957604,0,0,0,2.9
4,24.212883,275.7280916,474.496768,1.920855964,0,0,0,2.9
6,154.2683254,384.6034991,421.7794733,1.785738663,0,0,0,2.9
7,65.35165862,461.2602061,396.7170405,1.524231006,0,0,0,2.9
8,389.6741019,240.2037159,354.3209134,4.732092886,0,0,0,2.9
9,121.0173784,114.8680516,465.3487477,2.815587528,0,0,0,2.9
0,347.6967873,222.4862815,390.2951001,1.609248411,3,1,1,3
2,77.87212622,55.13434512,372.6832406,2.319444849,2,1,0,3
1,448.0858814,225.1140808,396.5380557,1.385563849,1,1,0,3
5,443.0003137,257.0969242,452.3555186,4.563169964,1,0,0,3
3,129.5286487,173.7673398,416.8772856,2.893957604,0,0,0,3
4,24.39643649,275.6714869,474.4977115,1.920855964,0,0,0,3
6,154.2385417,384.4668684,421.6684164,1.785738663,0,0,0,3
7,65.46748384,461.1761705,396.7695318,1.524231006,0,0,0,3
